id,sentence
1,I work at the office.
2,She works hard every day.
3,We play soccer in the park.
4,They eat lunch at noon.
5,He is a doctor.
6,You look tired today.
7,It sounds like a good idea.
8,I am reading a book.
9,She is cooking dinner now.
10,They are playing games.
11,I have finished my homework.
12,She has seen that movie.
13,We have been waiting for an hour.
14,I worked yesterday.
15,He played the guitar.
16,They went to the beach.
17,I was sleeping at 10 PM.
18,She was watching TV.
19,I had already eaten when he arrived.
20,I will call you tomorrow.
21,She will help us.
22,We are going to buy a new car.
23,I will be working at 9 AM.
24,I will have finished by then.
25,I can swim very well.
26,She could run fast when she was young.
27,You may come in.
28,It might rain later.
29,I must go now.
30,We should study for the exam.
31,He would often visit us.
32,Shall we dance?
33,I have to get up early.
34,She needs to learn English.
35,We are able to solve the problem.
36,He is likely to win.
37,I used to live in Tokyo.
38,You ought to apologize.
39,She is supposed to be here.
40,I do not like carrots.
41,He doesn't know the answer.
42,They didn't go to the party.
43,I won't tell anyone.
44,Do you play the piano?
45,Does she speak French?
46,Did they finish the project?
47,Are you hungry?
48,Can you open the window?
49,What is your name?
50,Who is that man?
51,Where do you live?
52,When does the train leave?
53,Why are you crying?
54,How did you make this?
55,Open the door.
56,Listen carefully.
57,Don't be late.
58,Please sit down.
59,The letter was written by her.
60,The house is cleaned every day.
61,The cake was eaten by the children.
62,English is spoken in many countries.
